                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4954,                 3.6269,                  1.218,                0.03687,                0.82857,                0.34498,                0.13288,                 1.1658,                 3.4421,                 1.0035,             0.00025722,             0.00025722,             0.00025722
                      2,                 1.5064,                 2.4048,                 1.2291,                0.01637,                0.59048,                0.12387,                  0.053,                 1.2383,                 3.3838,                 1.1069,             0.00051826,             0.00051826,             0.00051826
                      3,                 1.4422,                 2.0707,                 1.2061,                0.02395,                0.52381,                0.26927,                0.18125,                 1.2504,                 3.0821,                 1.1326,             0.00076855,             0.00076855,             0.00076855
                      4,                 1.5215,                 1.9582,                 1.2095,                 0.8791,                0.35714,                0.46105,                0.26658,                  1.391,                  2.506,                 1.1432,              0.0010081,              0.0010081,              0.0010081
                      5,                 1.5043,                 1.9734,                 1.2385,                0.93211,                0.09138,                0.31836,                0.17432,                 1.4396,                 2.7376,                 1.2655,              0.0012369,              0.0012369,              0.0012369
                      6,                  1.545,                 1.9458,                  1.235,                0.39958,                0.28429,                0.42412,                0.25265,                 1.3693,                 2.1737,                 1.3036,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4558,                 1.9334,                 1.2466,                0.90343,                    0.4,                0.54146,                0.33538,                  1.428,                 1.4104,                 1.2547,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.4755,                 1.8085,                 1.2219,                0.87436,                0.44286,                0.82828,                0.53259,                 1.3851,                 1.4047,                 1.2214,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.4781,                  1.844,                 1.2311,                0.45665,                0.80476,                0.68294,                0.46882,                 1.3792,                 1.2655,                  1.183,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.3959,                 1.9934,                 1.1566,                0.57114,                 0.6381,                0.65688,                0.35989,                 1.3421,                 1.3879,                 1.1253,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.3837,                 1.7924,                 1.1596,                0.30645,                0.63865,                0.61851,                0.35559,                 1.3649,                 1.4827,                 1.1947,              0.0011744,              0.0011744,              0.0011744
                     12,                  1.373,                  1.866,                 1.1489,                0.65334,                0.68596,                 0.7206,                0.49209,                 1.2842,                 1.5227,                 1.1905,              0.0011461,              0.0011461,              0.0011461
